month,price,change
Jan-95,0.74,-
Feb-95,0.74,0.10%
Mar-95,0.72,-3.64%
Apr-95,0.85,19.18%
May-95,0.9,5.86%
Jun-95,0.83,-7.95%
Jul-95,0.71,-14.05%
Aug-95,0.75,5.23%
Sep-95,0.8,6.92%
Oct-95,0.69,-13.76%
Nov-95,0.71,2.91%
Dec-95,0.76,5.85%
Jan-96,0.72,-4.79%
Feb-96,0.75,4.71%
Mar-96,0.82,9.47%
Apr-96,0.97,18.06%
May-96,0.91,-6.12%
Jun-96,0.82,-10.55%
Jul-96,0.87,6.69%
Aug-96,0.86,-1.37%
Sep-96,0.88,2.17%
Oct-96,0.93,5.26%
Nov-96,0.97,4.80%
Dec-96,0.96,-0.75%
Jan-97,0.95,-1.52%
Feb-97,0.89,-6.53%
Mar-97,0.88,-0.65%
Apr-97,0.85,-3.85%
May-97,0.89,5.42%
Jun-97,0.79,-11.83%
Jul-97,0.85,8.22%
Aug-97,1.06,23.98%
Sep-97,0.95,-10.34%
Oct-97,0.91,-3.83%
Nov-97,0.88,-3.13%
Dec-97,0.85,-3.28%
Jan-98,0.84,-1.68%
Feb-98,0.74,-11.18%
Mar-98,0.72,-2.90%
Apr-98,0.75,4.11%
May-98,0.79,4.93%
Jun-98,0.74,-5.79%
Jul-98,0.72,-2.89%
Aug-98,0.71,-2.16%
Sep-98,0.74,4.79%
Oct-98,0.71,-3.66%
Nov-98,0.61,-14.55%
Dec-98,0.51,-16.77%
Jan-99,0.58,13.42%
Feb-99,0.54,-6.34%
Mar-99,0.73,35.70%
Apr-99,0.86,17.35%
May-99,0.84,-1.86%
Jun-99,0.84,-0.62%
Jul-99,0.99,18.14%
Aug-99,1.07,8.52%
Sep-99,1.17,8.71%
Oct-99,1.05,-9.91%
Nov-99,1.16,10.61%
Dec-99,1.18,1.26%
Jan-00,1.18,0.20%
Feb-00,1.39,17.64%
Mar-00,1.52,9.89%
Apr-00,1.25,-18.26%
May-00,1.53,23.12%
Jun-00,1.66,8.43%
Jul-00,1.49,-10.15%
Aug-00,1.5,0.31%
Sep-00,1.67,11.38%
Oct-00,1.66,-0.62%
Nov-00,1.65,-0.60%
Dec-00,1.28,-22.40%
Jan-01,1.44,12.43%
Feb-01,1.44,0.01%
Mar-01,1.39,-3.45%
Apr-01,1.72,23.41%
May-01,1.68,-2.00%
Jun-01,1.31,-22.24%
Jul-01,1.25,-4.72%
Aug-01,1.37,9.76%
Sep-01,1.33,-2.68%
Oct-01,1.08,-18.70%
Nov-01,0.95,-12.57%
Dec-01,0.95,0.44%
Jan-02,1,5.32%
Feb-02,1.01,1.23%
Mar-02,1.28,26.04%
Apr-02,1.36,6.56%
May-02,1.27,-6.99%
Jun-02,1.28,1.05%
Jul-02,1.34,4.99%
Aug-02,1.35,0.55%
Sep-02,1.37,1.77%
Oct-02,1.48,7.39%
Nov-02,1.35,-8.35%
Dec-02,1.42,4.76%
Jan-03,1.53,7.71%
Feb-03,1.74,13.97%
Mar-03,1.67,-3.72%
Apr-03,1.42,-15.22%
May-03,1.32,-7.13%
Jun-03,1.4,6.32%
Jul-03,1.53,9.37%
Aug-03,1.77,15.22%
Sep-03,1.58,-10.70%
Oct-03,1.52,-3.82%
Nov-03,1.52,0.55%
Dec-03,1.51,-0.72%
Jan-04,1.7,11.98%
Feb-04,1.77,4.13%
Mar-04,1.85,5.04%
Apr-04,1.88,1.62%
May-04,2.3,22.01%
Jun-04,1.97,-14.18%
Jul-04,2.1,6.28%
Aug-04,2.07,-1.42%
Sep-04,2.14,3.41%
Oct-04,2.31,8.05%
Nov-04,2.09,-9.46%
Dec-04,1.75,-16.19%
Jan-05,2.03,15.96%
Feb-05,2,-1.38%
Mar-05,2.35,17.05%
Apr-05,2.45,4.26%
May-05,2.26,-7.48%
Jun-05,2.52,11.43%
Jul-05,2.68,6.10%
Aug-05,3.22,20.33%
Sep-05,3.59,11.35%
Oct-05,2.89,-19.42%
Nov-05,2.5,-13.55%
Dec-05,2.68,7.24%
Jan-06,2.83,5.76%
Feb-06,2.44,-13.79%
Mar-06,2.86,17.19%
Apr-06,3.42,19.45%
May-06,3.22,-5.79%
Jun-06,3.28,1.97%
Jul-06,3.54,7.84%
Aug-06,3.21,-9.33%
Sep-06,2.5,-22.17%
Oct-06,2.38,-4.87%
Nov-06,2.47,4.00%
Dec-06,2.57,4.03%
Jan-07,2.2,-14.39%
Feb-07,2.52,14.23%
Mar-07,2.96,17.47%
Apr-07,3.19,7.91%
May-07,3.42,7.15%
Jun-07,3.36,-1.70%
Jul-07,3.24,-3.54%
Aug-07,3.05,-5.76%
Sep-07,3.18,4.13%
Oct-07,3.18,0.05%
Nov-07,3.51,10.27%
Dec-07,3.38,-3.76%
Jan-08,3.34,-1.03%
Feb-08,3.36,0.54%
Mar-08,3.47,3.28%
Apr-08,3.77,8.65%
May-08,4.23,12.30%
Jun-08,4.5,6.35%
Jul-08,4.28,-4.99%
Aug-08,4.06,-4.99%
Sep-08,4.01,-1.40%
Oct-08,2.84,-29.23%
Nov-08,1.93,-31.84%
Dec-08,1.41,-26.82%
Jan-09,1.71,20.54%
Feb-09,1.85,8.23%
Mar-09,1.97,6.79%
Apr-09,2.07,5.26%
May-09,2.47,18.99%
Jun-09,2.77,12.13%
Jul-09,2.54,-8.32%
Aug-09,2.78,9.68%
Sep-09,2.53,-8.96%
Oct-09,2.69,6.17%
Nov-09,2.75,2.39%
Dec-09,2.68,-2.76%
Jan-10,2.85,6.33%
Feb-10,2.77,-2.63%
Mar-10,3,8.05%
Apr-10,3.08,2.70%
May-10,2.81,-8.63%
Jun-10,2.82,0.16%
Jul-10,2.75,-2.38%
Aug-10,2.63,-4.16%
Sep-10,2.63,-0.20%
Oct-10,2.82,7.35%
Nov-10,2.91,2.98%
Dec-10,3.13,7.56%
Jan-11,3.15,0.82%
Feb-11,3.27,3.66%
Mar-11,3.6,10.20%
Apr-11,3.97,10.13%
May-11,3.74,-5.63%
Jun-11,3.5,-6.47%
Jul-11,3.67,4.97%
Aug-11,3.43,-6.74%
Sep-11,3.47,1.19%
Oct-11,3.54,2.21%
Nov-11,3.38,-4.49%
Dec-11,3.41,0.83%
Jan-12,3.61,5.86%
Feb-12,3.82,5.63%
Mar-12,3.99,4.43%
Apr-12,4.01,0.68%
May-12,3.63,-9.62%
Jun-12,3.33,-8.29%
Jul-12,3.47,4.24%
Aug-12,3.77,8.85%
Sep-12,4.03,6.65%
Oct-12,3.64,-9.49%
Nov-12,3.45,-5.41%
Dec-12,3.33,-3.39%
Jan-13,3.5,5.23%
Feb-13,3.78,7.90%
Mar-13,3.63,-3.90%
Apr-13,3.35,-7.79%
May-13,3.42,2.09%
Jun-13,3.45,1.00%
Jul-13,3.71,7.30%
Aug-13,3.74,0.82%
Sep-13,3.53,-5.44%
Oct-13,3.34,-5.45%
Nov-13,3.33,-0.26%
Dec-13,3.44,3.37%
Jan-14,3.4,-1.32%
Feb-14,3.54,4.22%
Mar-14,3.49,-1.43%
Apr-14,3.64,4.16%
May-14,3.58,-1.52%
Jun-14,3.62,1.19%
Jul-14,3.48,-3.92%
Aug-14,3.38,-3.02%
Sep-14,3.44,1.80%
Oct-14,3.05,-11.14%
Nov-14,2.81,-8.17%
Dec-14,2.21,-21.09%
Jan-15,1.83,-17.52%
Feb-15,2.18,19.21%
Mar-15,2.26,4.04%
Apr-15,2.42,6.90%
May-15,2.59,6.85%
Jun-15,2.7,4.33%
Jul-15,2.53,-6.16%
Aug-15,2.27,-10.43%
Sep-15,2.06,-8.98%
Oct-15,1.96,-5.13%
Nov-15,1.95,-0.65%
Dec-15,1.8,-7.63%
Jan-16,1.61,-10.60%
Feb-16,1.49,-7.32%
Mar-16,1.65,10.98%
Apr-16,1.96,18.37%
May-16,2.15,9.69%
Jun-16,2.04,-4.83%
Jul-16,1.83,-10.40%
Aug-16,1.86,1.56%
Sep-16,1.95,5.17%
Oct-16,2.11,7.77%
Nov-16,2.06,-2.26%
Dec-16,2.35,14.03%
Jan-17,2.32,-1.33%
Feb-17,2.19,-5.45%
Mar-17,2.1,-4.23%
Apr-17,2.25,7.39%
May-17,2.15,-4.61%
Jun-17,2,-6.91%
Jul-17,2.14,7.12%
Aug-17,2.3,7.22%
Sep-17,2.52,9.67%
Oct-17,2.33,-7.40%
Nov-17,2.48,6.45%
Dec-17,2.37,-4.72%
Jan-18,2.51,6.15%
Feb-18,2.4,-4.49%
Mar-18,2.41,0.50%
Apr-18,2.62,8.80%
May-18,2.85,8.65%
Jun-18,2.74,-4.03%
Jul-18,2.83,3.37%
Aug-18,2.84,0.56%
Sep-18,2.87,0.96%
Oct-18,2.8,-2.58%
Nov-18,2.24,-20.06%
Dec-18,1.99,-11.16%
Jan-19,1.93,-2.69%
Feb-19,2.12,9.82%
Mar-19,2.45,15.59%
Apr-19,2.77,12.86%
May-19,2.63,-5.17%
Jun-19,2.37,-9.69%
Jul-19,2.57,8.44%
Aug-19,2.35,-8.77%
Sep-19,2.39,1.73%
Oct-19,2.37,-0.67%
Nov-19,2.35,-1.02%
Dec-19,2.33,-0.86%
Jan-20,2.25,-3.43%
Feb-20,2.2,-2.27%
Mar-20,1.26,-42.52%
Apr-20,0.84,-33.07%
May-20,1.24,47.05%
Jun-20,1.56,25.81%
Jul-20,1.69,8.33%
