month,number
2013-01,15
2013-02,11
2013-03,8
2013-04,9
2013-05,18
2013-06,20
2013-07,13
2013-08,14
2013-09,7
2013-10,4
2013-11,5
2013-12,7
2014-01,10
2014-02,11
2014-03,11
2014-04,6
2014-05,12
2014-06,11
2014-07,16
2014-08,20
2014-09,23
2014-10,29
2014-11,24
2014-12,30
2015-01,28
2015-02,24
2015-03,38
2015-04,48
2015-05,58
2015-06,105
2015-07,44
2015-08,59
2015-09,71
2015-10,121
2015-11,99
2015-12,112
2016-01,144
2016-02,132
2016-03,174
2016-04,168
2016-05,198
2016-06,201
2016-07,140
2016-08,139
2016-09,134
2016-10,154
2016-11,153
2016-12,167
2017-01,140
2017-02,124
2017-03,139
2017-04,159
2017-05,186
2017-06,201
2017-07,188
2017-08,182
2017-09,138
2017-10,207
2017-11,193
2017-12,165
2018-01,221
2018-02,147
2018-03,212
2018-04,233
2018-05,261
2018-06,360
2018-07,182
2018-08,211
2018-09,225
2018-10,246
2018-11,255
2018-12,190
2019-01,339
2019-02,191
2019-03,307
2019-04,322
2019-05,243
2019-06,188
2019-07,230
2019-08,168
2019-09,165
2019-10,128
2019-11,125
2019-12,107
2020-01,147
2020-02,160
2020-03,154
2020-04,13
2020-05,0
2020-06,43
2020-07,143
2020-08,141
